,name,institution,rating_mean,reviews_count,language
212,Google Cloud Product Fundamentals,Google Cloud,4.619565217391305,92.0,Inglés
213,American Contract Law I,Yale University,4.852941176470588,102.0,Inglés
214,Engineering Health: Introduction to Yoga and Physiology,New York University,4.701298701298701,77.0,Inglés
215,AI for Medical Diagnosis,DeepLearning.AI,4.583657587548638,257.0,Inglés
216,Natural Language Processing with Sequence Models,DeepLearning.AI,3.967741935483871,61.0,Inglés
217,Introduction to Electronics,Georgia Institute of Technology,4.671309192200557,359.0,Inglés
218,International Humanitarian Law in Theory and Practice,Universiteit Leiden,4.842931937172775,191.0,Inglés
219,Making Architecture,IE School of Architecture & Design,4.823275862068965,232.0,Inglés
220,Model Thinking,University of Michigan,4.772251308900524,382.0,Inglés
221,Supporting children with difficulties in reading and writing,University of London,4.747282608695652,368.0,Inglés
222,Innovation Management,Erasmus University Rotterdam,4.636075949367089,316.0,Inglés
223,The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",4.6328125,512.0,Inglés
224,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,4.815175097276264,514.0,Inglés
225,Fundamentals of Music Theory,The University of Edinburgh,,,Inglés
226,Supply Chain Principles,Georgia Institute of Technology,4.561933534743202,331.0,Inglés
227,Essential Google Cloud Infrastructure: Core Services,Google Cloud,4.650331125827814,755.0,Inglés
228,Weight Management: Beyond Balancing Calories,Emory University,4.73936170212766,188.0,Inglés
229,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,4.666666666666667,483.0,Inglés
230,Java Programming: Solving Problems with Software,Duke University,4.435828877005347,1122.0,Inglés
231,Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,4.510204081632653,98.0,Inglés
232,Inspiring and Motivating Individuals,University of Michigan,4.828644501278772,782.0,Inglés
233,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,4.7855855855855856,1110.0,Español
234,Healing with the Arts,University of Florida,4.716814159292035,226.0,Inglés
235,People Analytics,University of Pennsylvania,4.511758118701008,892.0,Inglés
236,What is Social?,Northwestern University,4.5860517435320585,889.0,Inglés
237,UX Design Fundamentals,California Institute of the Arts,4.767068273092369,249.0,Inglés
238,Creative Thinking: Techniques and Tools for Success,Imperial College London,4.746987951807229,663.0,Inglés
239,Introduction to Classical Music,Yale University,4.909090909090909,792.0,Inglés
240,Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,4.627976190476191,336.0,Inglés
241,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,4.488188976377953,127.0,Inglés
242,Introduction to Data Analysis Using Excel,Rice University,4.675745784695201,1542.0,Inglés
243,Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,4.818545697131421,1499.0,Inglés
244,Introduction to International Criminal Law,Case Western Reserve University,4.835548172757475,602.0,Inglés
245,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,4.57037037037037,270.0,Inglés
246,Greek and Roman Mythology,University of Pennsylvania,4.775743707093821,437.0,Inglés
247,Politics and Economics of International Energy,Sciences Po,4.720125786163522,318.0,Inglés
248,Continuous Delivery & DevOps,University of Virginia,4.548523206751055,237.0,Inglés
249,Teach English Now! Foundational Principles,Arizona State University,4.91411501120239,2678.0,Inglés
250,Business Model Innovation,HEC Paris,4.734939759036145,83.0,Inglés
251,Introduction to User Experience Principles and Processes,University of Michigan,4.7591623036649215,191.0,Inglés
252,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,4.672413793103448,58.0,Inglés
253,Process Mining: Data science in Action,Eindhoven University of Technology,4.68,200.0,Inglés
254,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,4.758620689655173,203.0,Inglés
255,Introduction to Corporate Finance,University of Pennsylvania,4.437118437118437,819.0,Inglés
256,Global Diplomacy: the United Nations in the World,University of London,4.679310344827586,290.0,Inglés
257,Algorithmic Toolbox,University of California San Diego,4.535564853556485,1912.0,Inglés
258,Troubles du spectre de l'autisme : diagnostic,University of Geneva,4.872340425531915,94.0,Francés
259,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,4.808764940239044,251.0,Inglés
260,Unraveling the Cycling City,University of Amsterdam,,,Inglés
261,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,4.619565217391305,92.0,Inglés
262,English for Business and Entrepreneurship,University of Pennsylvania,4.877737226277373,1096.0,Inglés
263,Natural Language Processing with Attention Models,DeepLearning.AI,3.2857142857142856,21.0,Inglés
264,What is Compliance?,University of Pennsylvania,4.798319327731092,119.0,Inglés
265,Getting Started with Google Sheets,Google Cloud,4.562162162162162,185.0,Inglés
266,Data Visualization with Python,IBM,4.045252883762201,1127.0,Inglés
267,Foundations of Mindfulness,Rice University,4.82051282051282,39.0,Inglés
268,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,4.818181818181818,715.0,Español
269,Data-driven Decision Making,PwC,4.5073995771670194,946.0,Inglés
270,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,4.393939393939394,132.0,Inglés
271,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,4.650406504065041,123.0,Inglés
272,Managerial Accounting Fundamentals,University of Virginia,4.87012987012987,77.0,Inglés
273,Search Engine Optimization Fundamentals,"University of California, Davis",4.719745222929936,471.0,Inglés
274,Essentials of Global Health,Yale University,4.857651245551601,281.0,Inglés
275,International Security Management,Erasmus University Rotterdam,4.658227848101266,79.0,Inglés
276,Getting Started with AWS Machine Learning,Amazon Web Services,4.413344887348353,1154.0,Inglés
277,Arts and Heritage Management,Università Bocconi,4.793478260869565,184.0,Inglés
278,Understanding Einstein: The Special Theory of Relativity,Stanford University,4.899135446685879,694.0,Inglés
279,Réussir le Changement,ESSEC Business School,4.394009216589862,434.0,Francés
280,Equine Welfare and Management,"University of California, Davis",4.892857142857143,56.0,Francés
281,International migrations: a global issue,Sciences Po,4.316666666666666,60.0,Inglés
282,Introduction to Web Development,"University of California, Davis",4.65335463258786,626.0,Inglés
283,Writing and Editing: Word Choice and Word Order,University of Michigan,4.742857142857143,105.0,Inglés
284,Introduction to the Digital Advertising Landscape,University of Colorado Boulder,4.488888888888889,45.0,Inglés
285,Access Controls,(ISC)²,4.466666666666667,45.0,Inglés
286,Engineering Project Management: Initiating and Planning,Rice University,4.764331210191083,471.0,Inglés
287,Kotlin for Java Developers,JetBrains,4.557632398753894,321.0,Inglés
288,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,4.642241379310345,696.0,Inglés
289,Introduction to Git and GitHub,Google,4.791848617176128,687.0,Inglés
290,Industrial Biotechnology,University of Manchester   ,4.587743732590529,359.0,Inglés
291,The Addicted Brain,Emory University,4.5479452054794525,438.0,Inglés
292,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,4.205154639175258,970.0,Español
293,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,4.604444444444445,225.0,Inglés
294,Drug Discovery,University of California San Diego,4.580310880829016,386.0,Inglés
295,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),4.763440860215054,465.0,Inglés
296,Financial Acumen for Non-Financial Managers,University of Pennsylvania,4.252336448598131,107.0,Inglés
297,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,4.270022883295194,437.0,Inglés
298,Bugs 101: Insect-Human Interactions,University of Alberta,4.962962962962963,297.0,Inglés
299,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,4.672897196261682,107.0,Inglés
300,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,4.7105263157894735,38.0,Inglés
301,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,,,Inglés
302,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,4.545454545454546,33.0,Inglés
303,Introduction to Spreadsheets and Models,University of Pennsylvania,3.6188811188811187,572.0,Inglés
304,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,4.431095406360424,283.0,Inglés
305,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,4.8164556962025316,158.0,Inglés
306,Budgeting and Scheduling Projects,"University of California, Irvine",4.7305524239007894,886.0,Inglés
307,Machine Learning for Business Professionals,Google Cloud,4.574370709382151,874.0,Inglés
308,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,4.883720930232558,43.0,Inglés
309,Spanish Vocabulary: Meeting People,"University of California, Davis",4.518828451882845,478.0,Inglés
310,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,4.8560090702947845,1764.0,Español
311,Public Policy Challenges of the 21st Century,University of Virginia,4.5661764705882355,272.0,Inglés
312,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,4.852941176470588,102.0,Inglés
313,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,4.616487455197133,558.0,Inglés
314,Financing and Investing in Infrastructure,Università Bocconi,4.842696629213483,356.0,Inglés
315,Global Environmental Management,Technical University of Denmark (DTU),4.657243816254417,283.0,Inglés
316,Operations Analytics,University of Pennsylvania,4.660240963855422,830.0,Inglés
317,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,1.0,6.0,Inglés
318,FinTech Law and Policy,Duke University,4.825688073394495,109.0,Inglés
319,The Social Context of Mental Health and Illness,University of Toronto,4.614457831325301,83.0,Inglés
320,What Is Contemporary Art?,The Museum of Modern Art,4.7534246575342465,292.0,Inglés
321,The Art of Music Production,Berklee College of Music,4.82830626450116,430.0,Inglés
322,Biohacking Your Brain's Health,Emory University,4.70042194092827,237.0,Inglés
323,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",4.4484375,640.0,Inglés
324,Reporting extra-financier et stratégie RSE,ESSEC Business School,4.6415094339622645,53.0,Francés
325,Leading Healthcare Quality and Safety,The George Washington University,4.78494623655914,186.0,Inglés
326,Understanding International Relations Theory,National Research University Higher School of Economics,4.59433962264151,106.0,Inglés
327,Introduction to Data Analytics,IBM,4.777777777777778,18.0,Inglés
328,Fundamentos de Excel para Negocios,Universidad Austral,4.8064,1250.0,Español
329,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,4.581430745814307,657.0,Inglés
330,Cultural Competence - Aboriginal Sydney,The University of Sydney,4.75,44.0,Inglés
331,Fundamentos de Finanzas Empresariales,Universidad de los Andes,4.898058252427185,1442.0,Español
332,Greening the Economy: Sustainable Cities,Lund University,4.59463986599665,597.0,Inglés
333,Introduction to Engineering Mechanics,Georgia Institute of Technology,4.764383561643836,730.0,Inglés
334,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,4.622222222222222,135.0,Inglés
335,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,4.061889250814332,307.0,Inglés
336,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,4.925093632958801,267.0,Inglés
337,Health Behavior Change: From Evidence to Action,Yale University,4.925925925925926,27.0,Inglés
338,Ordered Data Structures,University of Illinois at Urbana-Champaign,4.670103092783505,97.0,Inglés
339,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,4.842684268426843,2727.0,Inglés
340,Programming Fundamentals,Duke University,4.643485211830535,1251.0,Inglés
341,Understanding Financial Markets,University of Geneva,4.703271028037383,856.0,Inglés
342,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,4.921739130434783,460.0,Inglés
343,Drug Commercialization,University of California San Diego,4.6092715231788075,151.0,Inglés
344,Introduction to Software Product Management,University of Alberta,4.548746518105849,1076.0,Inglés
345,"Social Norms, Social Change I",Unicef,4.6061381074168795,391.0,Inglés
346,Excel Skills for Business: Intermediate II,Macquarie University,4.731417244796829,1009.0,Inglés
347,Aboriginal Worldviews and Education,University of Toronto,4.552238805970149,67.0,Inglés
348,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,4.700440528634362,227.0,Inglés
349,Six Sigma Principles,University System of Georgia,4.529531568228106,980.0,Inglés
350,Business Writing,University of Colorado Boulder,4.818742293464858,811.0,Inglés
351,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,4.728971962616822,321.0,Inglés
352,Introduction to Typography,California Institute of the Arts,4.762962962962963,810.0,Inglés
353,Customer Segmentation and Prospecting,Northwestern University,4.722222222222222,162.0,Inglés
354,Claves para Gestionar Personas,IESE Business School,4.84984520123839,646.0,Español
355,English for Journalism,University of Pennsylvania,4.819536423841059,603.0,Inglés
356,How Things Work: An Introduction to Physics,University of Virginia,4.808064516129032,620.0,Inglés
357,Business English: Networking,University of Washington,4.801047120418848,573.0,Inglés
358,Summary Statistics in Public Health,Johns Hopkins University,4.793991416309013,233.0,Inglés
359,The Changing Global Order,Universiteit Leiden,,,Inglés
360,Global Energy and Climate Policy,University of London,4.621359223300971,103.0,Inglés
361,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,4.968,125.0,Español
362,Probability and Statistics: To p or not to p?,University of London,4.669642857142857,336.0,Inglés
363,Gut Check: Exploring Your Microbiome,University of Colorado Boulder,4.7370517928286855,251.0,Inglés
364,Econometrics: Methods and Applications,Erasmus University Rotterdam,4.465,200.0,Inglés
365,Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,4.691489361702128,94.0,Ruso
366,Mastering Data Analysis in Excel,Duke University,3.71267252195734,797.0,Inglés
367,Basic Statistics,University of Amsterdam,4.589435774309724,833.0,Inglés
368,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,4.508108108108108,1295.0,Inglés
369,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,4.583333333333333,84.0,Inglés
370,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,4.769230769230769,195.0,Inglés
371,Data Analytics for Lean Six Sigma,University of Amsterdam,4.87481590574374,679.0,Inglés
372,Refugees in the 21st Century,University of London,4.816666666666666,60.0,Inglés
373,Building Containerized Applications on AWS,Amazon Web Services,4.318181818181818,44.0,Inglés
374,Business Transformation with Google Cloud,Google Cloud,4.718232044198895,181.0,Inglés
375,Version Control with Git,Atlassian,4.747323340471092,467.0,Inglés
376,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),4.715976331360947,169.0,Inglés
377,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,4.719626168224299,642.0,Español
378,Introduction to Public Speaking,University of Washington,4.812807881773399,406.0,Inglés
379,Building Conversational Experiences with Dialogflow,Google Cloud,4.2314410480349345,229.0,Inglés
380,Guitar for Beginners,Berklee College of Music,4.726591760299626,534.0,Inglés
381,Managing Project Risks and Changes,"University of California, Irvine",4.774352651048089,811.0,Inglés
382,L'excellence opérationnelle en pratique,ESSEC Business School,4.73469387755102,98.0,Francés
383,Introduction to Cloud Computing,IBM,4.819277108433735,83.0,Inglés
384,Sample-based Learning Methods,Alberta Machine Intelligence Institute,4.449664429530201,149.0,Inglés
385,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,4.719163763066202,1434.0,Inglés
386,Introduction to Blockchain Technologies,INSEAD,4.711920529801325,302.0,Inglés
387,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,4.871892925430211,523.0,Inglés
388,"Cameras, Exposure, and Photography",Michigan State University,4.727357609710551,1071.0,Inglés
389,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,4.860091743119266,436.0,Español
390,Dentistry 101,University of Michigan,4.84375,32.0,Inglés
391,"Python Functions, Files, and Dictionaries",University of Michigan,4.805607476635514,535.0,Inglés
392,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,4.851948051948052,385.0,Español
393,Positive Psychology: Applications and Interventions,University of Pennsylvania,4.741206030150754,398.0,Inglés
394,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,4.275229357798165,109.0,Inglés
395,Personal & Family Financial Planning,University of Florida,4.605263157894737,380.0,Inglés
396,A Law Student's Toolkit,Yale University,4.680412371134021,291.0,Inglés
397,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,4.732971165900543,2393.0,Español
398,"Cybersecurity Roles, Processes & Operating System Security",IBM,4.406976744186046,344.0,Inglés
399,Computational Neuroscience,University of Washington,4.53932584269663,178.0,Inglés
400,De-Mystifying Mindfulness,Universiteit Leiden,,,Inglés
401,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,4.594594594594595,222.0,Inglés
402,Getting Started with Go,"University of California, Irvine",4.404458598726115,314.0,Inglés
403,Introduction to Economic Theories,Erasmus University Rotterdam,4.136363636363637,44.0,Inglés
404,Probabilistic Graphical Models 1: Representation,Stanford University,,,Inglés
405,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",4.62962962962963,270.0,Inglés
406,Introduction to Personal Branding,University of Virginia,4.447368421052632,1976.0,Inglés
407,Love as a Force for Social Justice,Stanford University,4.712328767123288,73.0,Inglés
408,Mathematical Thinking in Computer Science,University of California San Diego,4.246458923512748,353.0,Inglés
409,Introduction to Genetics and Evolution,Duke University,4.840304182509506,263.0,Inglés
410,Основы программирования на Python,National Research University Higher School of Economics,4.293893129770993,524.0,Ruso
411,Improving Communication Skills,University of Pennsylvania,4.7,359.0,Inglés
412,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,3.463768115942029,138.0,Inglés
413,Python Programming: A Concise Introduction,Wesleyan University,4.661498708010336,1161.0,Inglés
